"Year","ODS_Code","Age","Item","Term","Numerator","Denominator","Proportion","Benchmark","ODS_Name","Postcode","longitude","latitude","PCN_Code","PCN_Name","Yet_to_receive"
"2019/20","H82006","12 months","DTaPIPVHibHepB","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1",30,32,0.9375,"Medium (90-95%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  2"
"2019/20","H82006","12 months","MenB","Meningococcal group B disease vaccine",30,32,0.9375,"Medium (90-95%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  2"
"2019/20","H82006","12 months","PCV2","Pneumococcal conjulate vaccine (first dose by 12 weeks)",30,32,0.9375,"Medium (90-95%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  2"
"2019/20","H82006","12 months","Rota","Rotavirus vaccine (primary course, with first dose at 8 weeks and second at 12 weeks)",31,32,0.96875,"High (95%+)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  1"
"2019/20","H82006","24 months","DTaP/IPV/Hib(Hep)","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; three doses at any time by second birthday",35,38,0.921052631578947,"Medium (90-95%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  3"
"2019/20","H82006","24 months","MMR1","Measles, mumps, and rubella vaccine; first dose by 1 year",34,38,0.894736842105263,"Low (<90%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  4"
"2019/20","H82006","24 months","Hib/MenC","Haemophilus influenzae type b/Meningococcal group C disease; booster dose by 2 years",34,38,0.894736842105263,"Low (<90%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  4"
"2019/20","H82006","24 months","PCV Booster","Pneumococcal conjulate disease booster vaccine; dose by second birthday",34,38,0.894736842105263,"Low (<90%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  4"
"2019/20","H82006","24 months","MenB Booster","Meningococcal group B disease booster vaccine; completed by fifth birthday",35,38,0.921052631578947,"Medium (90-95%)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  3"
"2019/20","H82006","5 years","DTaP/IPV/Hib","DTaP/IPV/Hib/HepB vaccine (Diptheria, tetanus, pertussis, polio, haemophilus influenzae type B and hepatitis B), known as hexavalent vaccine or 6-in-1; completing booster dose by fifth birthday",49,49,1,"High (95%+)","The Petworth Surgery","GU28 0LP",-0.607135,50.983365,"U33593","Rural North Chichester PCN","  0"
