"Age","Item","Year","PCN_Code","PCN_Name","Practices_w_denominator","Numerator","Denominator","Practices","Same","Proportion"
"12 months","DTaPIPVHibHepB","2019/20","U01092","Cissbury Integrated Care PCN",4,434,451,4,"All practices",0.96230598669623
"12 months","DTaPIPVHibHepB","2019/20","U03364","Haywards Heath Villages PCN",4,467,481,4,"All practices",0.970893970893971
"12 months","DTaPIPVHibHepB","2019/20","U04725","Haywards Heath Central PCN",3,340,347,3,"All practices",0.979827089337176
"12 months","DTaPIPVHibHepB","2019/20","U04748","Angmering Coppice Fitzalan (ACF) PCN",2,259,269,2,"All practices",0.962825278810409
"12 months","DTaPIPVHibHepB","2019/20","U06871","Burgess Hill & Villages PCN",5,509,532,5,"All practices",0.956766917293233
"12 months","DTaPIPVHibHepB","2019/20","U08235","Regis Healthcare PCN",9,785,836,9,"All practices",0.938995215311005
"12 months","DTaPIPVHibHepB","2019/20","U13952","Central Worthing Practices PCN",3,392,416,3,"All practices",0.942307692307692
"12 months","DTaPIPVHibHepB","2019/20","U14816","Healthy Crawley PCN",4,432,452,4,"All practices",0.955752212389381
"12 months","DTaPIPVHibHepB","2019/20","U21339","Arun Integrated Care (AIC) PCN",5,562,578,5,"All practices",0.972318339100346
"12 months","DTaPIPVHibHepB","2019/20","U24558","Chichester Alliance of Medical Practices PCN",8,726,775,8,"All practices",0.936774193548387
"12 months","DTaPIPVHibHepB","2019/20","U26939","Horsham Central PCN",4,526,541,4,"All practices",0.972273567467652
"12 months","DTaPIPVHibHepB","2019/20","U33451","South Crawley PCN",4,545,576,4,"All practices",0.946180555555556
"12 months","DTaPIPVHibHepB","2019/20","U33593","Rural North Chichester PCN",4,254,265,4,"All practices",0.958490566037736
"12 months","DTaPIPVHibHepB","2019/20","U37037","Shoreham and Southwick PCN",3,355,376,3,"All practices",0.944148936170213
"12 months","DTaPIPVHibHepB","2019/20","U49536","Coastal and South Downs PCN",3,243,256,3,"All practices",0.94921875
"12 months","DTaPIPVHibHepB","2019/20","U52694","Crawley Care Collaborative PCN",4,549,575,4,"All practices",0.954782608695652
"12 months","DTaPIPVHibHepB","2019/20","U57981","Chanctonbury PCN",4,382,400,4,"All practices",0.955
"12 months","DTaPIPVHibHepB","2019/20","U60757","Bognor Coastal Alliance PCN",3,268,289,3,"All practices",0.927335640138408
"12 months","DTaPIPVHibHepB","2019/20","U80779","East Grinstead PCN",4,363,381,4,"All practices",0.952755905511811
